"Breed","BreedEntity","StrangerDirectedAggression","OwnerDirectedAggression","DogDirectedAggression","StrangerDirectedFear","DogDirectedFear","NonsocialFear","DogRivalry","Trainability","Chasing","AttachmentAttentionSeeking","SeparationRelatedBehavior","TouchSensitivity","Excitability","EnergyLevel"
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0,0,0,1,0,1,0,3.125,2.25,0.6666666667,0,0.5,0.6666666667,2
"American Staffordshire Terrier","Entity[""DogBreed"", ""AmericanStaffordshireTerrier""]",0,0,0,0,0,0,0,1.625,0,1.5,0.75,0,3.3333333333,1
"Bernese Mountain Dog","Entity[""DogBreed"", ""BerneseMountainDog""]",0.2,0,0.25,0,0,0.1666666667,0.25,2.125,0.5,3.1666666667,0.375,0,2,4
"Sussex Spaniel","Entity[""DogBreed"", ""SussexSpaniel""]",0.1,0,0,0,1,0,0.75,2.625,2.75,3,1.5,0.75,3.3333333333,3.5
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.3,0,0.5,2,0,2,0,2.75,2,2,0,0.25,1.8333333333,1
"Labrador Retriever","Entity[""DogBreed"", ""LabradorRetriever""]",0.4,0,0.25,0,0.25,0.8333333333,0,3.2857142857,3.25,2.6666666667,0,0.25,2.8333333333,2
"Husky Mix","Missing[""NotAvailable""]",2.1,2,2,2,2,2,2,2.25,1.75,1.8333333333,1.875,1.5,2.3333333333,1.5
"Cocker Spaniel (American)","Entity[""DogBreed"", ""CockerSpaniel""]",1.8888888889,0,0.5,2,0,0.6666666667,0,3.25,0,0.6666666667,0.5,0,2.6666666667,3.5
"Tosa","Entity[""DogBreed"", ""Tosa""]",0,0,3.75,0,0,0,0,2.5,4,2.3333333333,0.875,0.25,1.6666666667,3
"Treeing Walker Coonhound","Entity[""DogBreed"", ""TreeingWalkerCoonhound""]",0.8,0,3,1,3.3333333333,0.8,"Missing[""NotAvailable""]",2.25,3.25,1.4,0.5714285714,0.75,2,1.5
"Border Collie","Entity[""DogBreed"", ""BorderCollie""]",0.1111111111,0,0.5,0,0.25,0.2,0,3.5,1.75,1.1666666667,0,0.3333333333,2,1.5
"Australian Shepherd","Entity[""DogBreed"", ""AustralianShepherd""]",0.9,0,3.25,0,0,1.8333333333,1.75,1.875,2.5,2,0.75,2.5,2.3333333333,3.5
"Greyhound","Entity[""DogBreed"", ""Greyhound""]",0,0.1666666667,0.6666666667,0,0.75,0.3333333333,1.25,"Missing[""NotAvailable""]",2.75,1.6666666667,0.25,0,2.5,2
